step,Review Area,UCOA LINE/AREA of Report,Districts/ Charters,Check ,Support,Suggested Method/Notes,Disapprove?
56,Cash Report and Bank,Individual Bank Statement,Districts/ Charters,Bank Statements are correct and ending balances matches the cash report,,"Review each bank statement in comparison to the values listed in the From Bank Statements section on the last page of the cash report.

The Account Name, Bank and Statement Balance are the only cells that can be verified.

Verify entity name, end date and ending balance on each statement. Ensure that the end date coincides with the end date of the period being reviewed, the budget entity is the budget entity being reviewed and the ending balance matches what is entered on the cash report for that account.",Not cause for disapproval unless entity asks to reopen/reupload
57,Cash Report and Bank,Adjusted Bank Statement,Districts/ Charters,Adjusted Bank Statement,,"Ensure description and amount make sense; otherwise, have discussion with SBO on what the amount is",Not cause for disapproval unless entity asks to reopen/reupload
58,Cash Report and Bank,Reconciliation Section,Districts/ Charters,No Bank-to-Book Variance,,"Ensure that the entity is RECONCILED in column K after the bank Statements as noted by the 0.00 value.  Any other value implies a bank-to-book variance that the budget entity will have to research further and fix before approval.
The Total Outstanding Loans has another built-in check where the total amount must equal 0.00 or the cash report will state ERROR, denoting that a fix is required on these loans to offset one another.",Not cause for disapproval unless entity asks to reopen/reupload
59,Cash Report and Bank,"Explanation
***TOTAL OUTSTANDING LOANS (LINE 11)***",Districts/ Charters,Reasonable Explanation Provided for Temporary Loans,,"The first cells in that section should show the Fund 11000 with a negative amount and explanations as to what funds have been temporarily loaned cash.  The remaining entries should show the positive amounts that in sum total equal the amount of the negative amount from Fund 11000, each with an explanation. ",Not cause for disapproval unless entity asks to reopen/reupload
60,Cash Report and Bank,"Explanation
Adjustments (Line 9)",Districts/ Charters,Reasonable Explanation Provided for Adjustments,,"Verify that language appropriate to the line is entered into the tan cells under the Adjustments section

This is not used to adjust to cash or to balance when the inability to reconcile exists.

Verify that values are only entered on this line for one of two things:
1. revenue recorded, but not yet received
2. an expenditure that has not yet been liquidated",Not cause for disapproval.
61,Cash Report and Bank,Cash Report on Website,Districts/ Charters,Cash Report on Website,"Statute
22-8-13.2",Ensure budget entity has the cash report on their website required per statute.,Not cause for disapproval.
62,Audit,Audit findings,Districts/ Charters,Audit findings,,"
Until such time that audit becomes available, address audit findings as noted in Director or Deputy Secretary comments of the most recent operating budget checklist found in the FTS\SBB_Opbud_Review\FY##\3 COMPLETED Budget Review. Make note and have discussion with SBO on what the progress is on clearing the finding.

Once audit is available, review relevant SBB audit findings. Make note and have discussion with SBO on what the progress is on clearing the finding. If you are unsure if an audit finding is relevant, please discuss with your supervisor. Bring egregious audit findings to the attention of your supervisor i.e. material weakness findings, repeat findings not addressed for several years, modified/disclaimer opinions.",Not cause for disapproval.
63,Other,Picture,Districts/ Charters,RfR Summary Report,,"OBMS: Reports --> RfR Reports --> RfR Summary Report
Select ""Budget Year,"" for the period being reviewed; select ""Entity"" Name"" click ""View Report;"" export to Excel by clicking on disk icon and clicking Excel.

Entity's should submit 2 RfRs per month per fund. Review the fund and submit date to see if the entity is being consistent with submitting RfRs timely.",Not cause for disapproval.
64,Other,Contact Info,Districts/ Charters,Contact Info,Internal Controls,"Each quarter, list the Business Manager and Superintendent/Charter Rep in the comments and ask SBO if this is still correct. If incorrect, please ask entity to correct the ""Contact Info"" file and place a copy in the Final reports folder, for example FY25 belongs in this folder Z:\SBB_Final Reports\Shared Documents\FY24\FY25 Contact Info",Not cause for disapproval unless entity asks to reopen/reupload
65,Other,,Districts/ Charters,Other,,"Any additional issues/red flags not captured in checklist that you find notable as well as the governance of entity, business manager responsiveness, etc.",Not cause for disapproval unless entity asks to reopen/reupload
66,Final Reports,OBMS Users (Q4 Only),Districts/ Charters,OBMS Users (Q4 Only),Internal Controls,Suggested Method/Notes TBD,Not cause for disapproval unless entity asks to reopen/reupload
67,Final Reports,Contact Info (Q4 Only),Districts/ Charters,Contact Info (Q4 Only),Internal Controls,Suggested Method/Notes TBD,Not cause for disapproval unless entity asks to reopen/reupload
68,Final Reports,925F (Q4 Only),Districts/ Charters,925F (Q4 Only),,Suggested Method/Notes TBD,Not cause for disapproval unless entity asks to reopen/reupload
69,Final Reports,OBMS Users Cert (Q4 Only),Districts/ Charters,OBMS Users Cert (Q4 Only),Internal Controls,Suggested Method/Notes TBD,Not cause for disapproval unless entity asks to reopen/reupload
70,Final Steps,Feedback Memo,Districts/ Charters,,,"The ""Quarterly Feedback"" sheet of this excel workbooks serves as the feedback memo.  On this sheet, please make rows larger so that all comments are visible. Your comments in this sheet in the ""Q1/Q2/Q3/Q4 Findings Memo Notes"" columns automatically transfer to the ""Quarterly Feedback"" sheet.  Ensure your comments contain distinct discussions on errors/issues and inlcude proposed corrective actions and/or reason(s) for withholding OBMS approval such as additional documents or fixes are required.  The notes should also address if a disapproval is required and why the disapproval had to occur.  Ensure you notify SBO of the completed feedback memo and request they provide their comments. There are columns for the SBO to provide comments on the ""Quarterly Feedback"" sheet.  

Save a copy of this excel using approved naming convention and in appropriate FTS folder for M/Q being reviewed.",N/A
71,Final Steps,Approve or Disapprove Actuals in OBMS,Districts/ Charters,,,"In OBMS, navigate to the Actuals module, select Budget year, select Entity, select Reporting Period and then clicking Retrieve.  The Approve or Disapprove buttons will be directly below that.",N/A
